anomaly,amount
low_risk,174.85753
moderate_risk,940.7951
low_risk,337.77847
low_risk,297.72897
moderate_risk,749.35803
moderate_risk,709.74506
low_risk,604.0393
moderate_risk,973.3763
low_risk,475.2963
moderate_risk,718.1035
moderate_risk,796.0228
low_risk,659.308
low_risk,543.78796
moderate_risk,528.84906
moderate_risk,759.3994
low_risk,517.3467
moderate_risk,806.8254
low_risk,338.05643
moderate_risk,707.2354
moderate_risk,569.7437
low_risk,274.22192
moderate_risk,636.8271
low_risk,576.5633
low_risk,435.0461
moderate_risk,722.6792
moderate_risk,309.94553
moderate_risk,358.6473
low_risk,589.268
moderate_risk,124.29248
low_risk,88.62241
moderate_risk,912.38416
low_risk,472.50616
moderate_risk,1087.1746
moderate_risk,541.2303
moderate_risk,403.67007
moderate_risk,238.91077
low_risk,318.31625
moderate_risk,873.0495
moderate_risk,902.7047
low_risk,576.10425
low_risk,374.05695
low_risk,264.085
moderate_risk,800.686
low_risk,545.8041
low_risk,342.05847
low_risk,593.9073
low_risk,606.79065
low_risk,398.65463
low_risk,413.63464
moderate_risk,0.01
moderate_risk,457.0595
moderate_risk,364.31143
low_risk,114.480415
moderate_risk,448.86856
moderate_risk,649.18915
moderate_risk,904.2276
moderate_risk,1155.3711
low_risk,640.4415
low_risk,494.4342
low_risk,289.75742
moderate_risk,703.0126
moderate_risk,650.4619
moderate_risk,766.45526
moderate_risk,789.07263
low_risk,391.5358
low_risk,606.7737
low_risk,317.1011
moderate_risk,378.9821
low_risk,373.23776
moderate_risk,711.5723
low_risk,522.71063
low_risk,368.85562
moderate_risk,765.4549
low_risk,508.1294
low_risk,203.4206
low_risk,224.74092
moderate_risk,930.9824
low_risk,629.685
moderate_risk,754.6528
low_risk,533.6426
moderate_risk,786.2587
low_risk,579.47266
moderate_risk,547.4568
low_risk,454.85474
low_risk,488.11026
low_risk,594.6104
low_risk,622.0861
moderate_risk,395.54196
moderate_risk,435.2903
low_risk,488.2065
low_risk,286.84097
moderate_risk,456.61093
moderate_risk,770.3218
moderate_risk,716.4562
low_risk,390.0578
low_risk,0.01
low_risk,316.43295
low_risk,191.11183
moderate_risk,1169.7769
low_risk,277.2508
low_risk,365.91782
low_risk,392.26022
moderate_risk,744.44446
moderate_risk,270.80817
moderate_risk,460.749
low_risk,421.82346
low_risk,682.1063
low_risk,326.39572
low_risk,398.5079
moderate_risk,1118.338
low_risk,142.02205
low_risk,114.36893
moderate_risk,396.5085
low_risk,160.19705
low_risk,698.323
moderate_risk,674.1127
low_risk,235.12776
moderate_risk,669.66974
low_risk,500.43057
low_risk,346.26877
moderate_risk,390.78632
moderate_risk,764.9145
low_risk,0.01
moderate_risk,213.48232
moderate_risk,566.21576
low_risk,511.3297
low_risk,525.1068
low_risk,360.33002
moderate_risk,777.8637
low_risk,208.35397
low_risk,440.0768
moderate_risk,793.9478
low_risk,652.3686
low_risk,295.6986
low_risk,619.01416
low_risk,642.5967
low_risk,334.5765
low_risk,404.35718
moderate_risk,741.486
low_risk,352.68735
moderate_risk,87.44588
low_risk,520.5275
low_risk,575.38434
moderate_risk,878.0736
low_risk,426.9901
low_risk,505.7734
low_risk,453.58633
moderate_risk,134.2124
low_risk,621.0974
moderate_risk,479.71613
moderate_risk,887.548
moderate_risk,691.9697
low_risk,241.29321
low_risk,637.0543
moderate_risk,705.33203
moderate_risk,965.02765
moderate_risk,351.18347
low_risk,511.33426
moderate_risk,739.8341
low_risk,591.21204
moderate_risk,982.2042
moderate_risk,290.64624
moderate_risk,905.6094
low_risk,664.5475
low_risk,272.40222
moderate_risk,953.5217
low_risk,45.039787
low_risk,529.0536
low_risk,277.03854
low_risk,537.8595
low_risk,524.4278
moderate_risk,714.2056
moderate_risk,316.65347
moderate_risk,575.07495
low_risk,651.22577
moderate_risk,393.7961
low_risk,471.8173
moderate_risk,812.1153
low_risk,542.2625
low_risk,529.85297
moderate_risk,618.93134
moderate_risk,672.45215
moderate_risk,827.838
moderate_risk,166.77188
moderate_risk,798.2562
low_risk,619.66907
moderate_risk,947.89
low_risk,617.1356
low_risk,585.9805
low_risk,643.30804
low_risk,471.1779
moderate_risk,806.31494
low_risk,607.9854
low_risk,676.3626
moderate_risk,521.4782
low_risk,192.86331
moderate_risk,779.7891
low_risk,0.01
moderate_risk,652.605
low_risk,645.93274
low_risk,464.5764
moderate_risk,373.07147
moderate_risk,714.3118
low_risk,535.54193
low_risk,434.26077
moderate_risk,756.21484
moderate_risk,940.87213
moderate_risk,643.5181
low_risk,368.82904
moderate_risk,358.47742
moderate_risk,379.0102
low_risk,652.95386
moderate_risk,337.74207
moderate_risk,729.3976
moderate_risk,626.2021
moderate_risk,205.60484
moderate_risk,822.00714
moderate_risk,888.8893
moderate_risk,458.23767
moderate_risk,759.22375
moderate_risk,437.8928
moderate_risk,866.3873
low_risk,494.7048
low_risk,347.7887
low_risk,0.01
low_risk,563.0529
low_risk,610.80194
moderate_risk,583.0893
moderate_risk,649.9574
moderate_risk,792.174
moderate_risk,816.989
moderate_risk,428.3511
low_risk,449.17682
low_risk,634.66254
moderate_risk,508.5959
moderate_risk,777.14435
low_risk,677.94006
low_risk,654.0329
low_risk,434.2754
moderate_risk,321.9354
low_risk,0.01
low_risk,26.923674
moderate_risk,772.839
moderate_risk,737.77277
low_risk,534.43713
low_risk,55.497036
moderate_risk,542.19385
moderate_risk,749.1324
low_risk,604.20044
moderate_risk,519.5573
low_risk,674.1742
moderate_risk,752.3185
moderate_risk,325.10938
low_risk,549.91656
moderate_risk,362.9072
moderate_risk,580.9159
low_risk,0.01
moderate_risk,731.78
low_risk,69.9422
low_risk,660.6625
moderate_risk,750.0569
low_risk,90.366936
low_risk,322.49292
low_risk,339.0461
low_risk,507.44583
low_risk,573.1879
moderate_risk,318.58984
low_risk,525.5712
low_risk,512.70233
moderate_risk,481.24472
moderate_risk,581.6068
low_risk,125.03317
low_risk,431.57483
low_risk,230.61882
low_risk,425.75488
low_risk,556.17285
moderate_risk,762.77216
low_risk,658.83057
moderate_risk,1115.0579
low_risk,698.7148
low_risk,550.3121
low_risk,417.44193
moderate_risk,1017.27844
low_risk,367.73477
moderate_risk,866.6364
moderate_risk,368.1469
moderate_risk,501.38553
moderate_risk,614.6645
low_risk,258.26648
moderate_risk,861.5447
moderate_risk,765.63776
moderate_risk,783.4867
low_risk,493.70477
moderate_risk,402.3163
low_risk,359.1861
moderate_risk,716.033
low_risk,668.7761
moderate_risk,504.09998
moderate_risk,572.35114
low_risk,304.57596
moderate_risk,161.10567
moderate_risk,616.2034
moderate_risk,931.87244
low_risk,615.44275
low_risk,10.338898
low_risk,622.78265
low_risk,369.12878
low_risk,203.52313
low_risk,396.93478
low_risk,352.97263
low_risk,373.94208
low_risk,560.96625
low_risk,194.52452
moderate_risk,598.5383
moderate_risk,895.0191
moderate_risk,819.6776
low_risk,404.8945
low_risk,482.41006
low_risk,30.545488
low_risk,454.50037
moderate_risk,520.7772
low_risk,349.03088
moderate_risk,374.9944
low_risk,496.79367
moderate_risk,585.6678
low_risk,349.8938
low_risk,456.5723
low_risk,633.612
moderate_risk,907.41406
moderate_risk,817.25226
moderate_risk,332.8658
low_risk,533.3537
moderate_risk,604.16504
moderate_risk,415.03503
low_risk,611.36145
low_risk,76.64534
moderate_risk,681.94934
moderate_risk,745.30194
low_risk,8.540071
low_risk,675.6338
moderate_risk,477.11563
low_risk,340.8011
low_risk,568.71075
low_risk,514.0843
moderate_risk,760.2405
moderate_risk,417.4421
low_risk,588.0189
low_risk,0.01
low_risk,482.58652
low_risk,67.523224
low_risk,638.151
low_risk,549.74835
low_risk,471.2445
low_risk,253.78673
low_risk,169.47806
moderate_risk,0.01
low_risk,623.55835
low_risk,527.39886
moderate_risk,714.9738
moderate_risk,762.62946
low_risk,306.60623
moderate_risk,622.69867
low_risk,570.0449
moderate_risk,1017.7622
moderate_risk,746.5407
low_risk,627.1213
moderate_risk,807.75476
low_risk,646.9568
low_risk,601.86743
low_risk,160.40083
low_risk,161.8261
moderate_risk,482.2676
moderate_risk,457.21957
moderate_risk,289.14075
low_risk,685.6081
moderate_risk,1022.361
moderate_risk,824.68054
low_risk,363.11136
low_risk,402.95218
low_risk,627.42944
moderate_risk,24.456623
moderate_risk,968.5915
low_risk,501.077
low_risk,555.45996
moderate_risk,599.261
low_risk,628.08624
low_risk,312.4769
low_risk,542.2843
moderate_risk,232.44295
moderate_risk,1025.8274
low_risk,355.43478
low_risk,645.2755
moderate_risk,927.70636
low_risk,295.0984
moderate_risk,234.81302
low_risk,394.0079
moderate_risk,660.5755
moderate_risk,252.22527
moderate_risk,1197.4478
low_risk,609.7831
low_risk,669.8389
low_risk,580.23145
low_risk,484.6631
low_risk,235.245
low_risk,483.10077
low_risk,458.41574
moderate_risk,779.49164
low_risk,492.1406
moderate_risk,1004.2606
low_risk,232.77338
low_risk,0.01
moderate_risk,774.8921
low_risk,380.1451
low_risk,300.64487
low_risk,0.01
low_risk,616.4536
low_risk,525.1557
moderate_risk,939.088
low_risk,653.1939
low_risk,322.5252
moderate_risk,419.46332
low_risk,356.70953
low_risk,6.578912
moderate_risk,764.5218
low_risk,583.5705
moderate_risk,204.90231
low_risk,0.01
moderate_risk,977.8343
moderate_risk,858.8243
low_risk,83.621666
low_risk,556.4905
moderate_risk,527.91876
low_risk,152.67908
moderate_risk,412.7614
low_risk,425.23938
moderate_risk,949.9191
moderate_risk,568.7763
low_risk,509.259
moderate_risk,633.4953
low_risk,202.87865
low_risk,96.8664
moderate_risk,383.7603
low_risk,444.20416
low_risk,362.6747
moderate_risk,447.58997
moderate_risk,489.12402
low_risk,622.4228
moderate_risk,70.32768
moderate_risk,821.043
moderate_risk,989.0203
moderate_risk,355.24176
low_risk,477.3594
moderate_risk,1091.4653
moderate_risk,537.7259
moderate_risk,397.2291
low_risk,664.0145
low_risk,264.13535
moderate_risk,893.86584
low_risk,590.03046
moderate_risk,735.197
moderate_risk,483.85764
low_risk,587.48615
moderate_risk,630.42865
low_risk,512.8397
moderate_risk,474.62466
moderate_risk,543.19635
low_risk,650.1288
moderate_risk,615.2191
moderate_risk,922.7397
moderate_risk,758.4602
low_risk,307.35986
low_risk,635.80554
moderate_risk,678.97577
low_risk,607.02594
low_risk,107.337715
low_risk,647.1549
low_risk,661.18756
moderate_risk,737.3025
low_risk,0.01
moderate_risk,707.7163
low_risk,346.00607
low_risk,492.99597
low_risk,398.5286
low_risk,193.95444
low_risk,564.60736
low_risk,365.26785
low_risk,676.5332
low_risk,0.01
low_risk,230.67134
low_risk,538.8293
low_risk,0.01
low_risk,380.55032
moderate_risk,1002.73895
low_risk,0.01
low_risk,677.9414
low_risk,432.27713
low_risk,480.4587
moderate_risk,447.66528
moderate_risk,685.59064
low_risk,458.84702
low_risk,271.93704
low_risk,325.95703
moderate_risk,977.57104
low_risk,365.48853
low_risk,541.35016
moderate_risk,871.0766
low_risk,649.02515
low_risk,442.37354
low_risk,660.26495
moderate_risk,0.01
low_risk,619.2061
moderate_risk,360.16245
low_risk,91.2268
low_risk,252.04192
moderate_risk,716.1875
low_risk,578.5404
low_risk,499.26538
low_risk,336.97125
moderate_risk,808.2462
moderate_risk,0.01
low_risk,470.81433
low_risk,395.04175
moderate_risk,529.4485
low_risk,318.07373
moderate_risk,742.30914
moderate_risk,255.60532
low_risk,613.83136
low_risk,591.4504
low_risk,549.008
moderate_risk,915.1209
moderate_risk,802.39954
low_risk,313.57526
low_risk,608.8227
low_risk,20.199234
moderate_risk,726.73706
moderate_risk,811.6307
low_risk,490.50494
moderate_risk,714.04254
moderate_risk,828.8202
low_risk,353.7522
low_risk,80.21997
low_risk,575.7898
moderate_risk,816.401
moderate_risk,526.442
moderate_risk,402.91345
low_risk,456.16742
low_risk,446.9147
moderate_risk,665.614
moderate_risk,643.8594
moderate_risk,749.8086
low_risk,399.30807
moderate_risk,906.8131
moderate_risk,715.11255
low_risk,531.5711
low_risk,160.82541
low_risk,449.61838
low_risk,563.91724
low_risk,506.03906
low_risk,365.62744
low_risk,330.8205
moderate_risk,763.9617
low_risk,473.83237
low_risk,83.5085
moderate_risk,210.8967
low_risk,576.5827
moderate_risk,741.31665
low_risk,479.27734
moderate_risk,839.9167
low_risk,367.47772
moderate_risk,334.21286
moderate_risk,237.91005
low_risk,590.33936
moderate_risk,410.463
low_risk,525.17847
moderate_risk,834.16455
moderate_risk,516.787
low_risk,22.5877
moderate_risk,738.36865
moderate_risk,867.9633
moderate_risk,535.91846
moderate_risk,1030.2786
low_risk,395.36026
low_risk,523.54614
low_risk,695.3247
moderate_risk,762.81476
low_risk,493.03775
low_risk,465.05334
low_risk,287.87256
low_risk,187.83081
moderate_risk,876.677
low_risk,479.6171
low_risk,569.0459
low_risk,585.2901
low_risk,0.01
moderate_risk,361.61917
low_risk,288.0212
low_risk,332.76743
moderate_risk,330.87778
low_risk,606.2048
low_risk,215.9994
low_risk,131.41405
low_risk,91.10555
moderate_risk,705.191
low_risk,418.30685
moderate_risk,397.35767
moderate_risk,369.32706
low_risk,423.77536
low_risk,592.6465
moderate_risk,537.2132
low_risk,571.89343
moderate_risk,946.8907
low_risk,595.0254
moderate_risk,765.3589
low_risk,0.01
moderate_risk,562.59155
low_risk,311.71808
low_risk,259.3331
moderate_risk,671.3454
low_risk,554.1672
moderate_risk,868.7169
low_risk,172.02138
moderate_risk,388.97675
moderate_risk,351.451
moderate_risk,488.71872
low_risk,406.53934
low_risk,439.02954
moderate_risk,1106.1129
low_risk,235.12703
low_risk,544.78613
low_risk,544.5239
moderate_risk,758.3975
moderate_risk,740.63196
low_risk,37.79942
low_risk,529.1272
moderate_risk,794.5515
low_risk,545.19214
moderate_risk,421.07666
moderate_risk,224.166
moderate_risk,891.8549
low_risk,237.58765
low_risk,683.6887
low_risk,0.01
low_risk,643.6544
low_risk,679.6503
moderate_risk,518.9601
moderate_risk,386.21155
low_risk,549.4321
moderate_risk,781.4604
low_risk,293.43198
moderate_risk,126.59004
moderate_risk,548.544
low_risk,214.58578
low_risk,320.72214
low_risk,504.84097
low_risk,586.1717
low_risk,321.2246
moderate_risk,281.52972
moderate_risk,607.0774
low_risk,75.80675
low_risk,658.59863
low_risk,699.5851
moderate_risk,242.67752
low_risk,311.45334
low_risk,279.21768
low_risk,419.9989
moderate_risk,752.4072
low_risk,195.69315
moderate_risk,689.6137
moderate_risk,431.70422
low_risk,420.90494
moderate_risk,860.972
low_risk,131.3297
low_risk,661.5762
low_risk,402.9267
low_risk,419.7452
moderate_risk,586.0666
moderate_risk,749.6591
low_risk,201.75385
moderate_risk,793.1714
low_risk,379.26416
low_risk,676.92346
low_risk,669.966
low_risk,552.9837
moderate_risk,897.11926
moderate_risk,660.0783
moderate_risk,447.3844
low_risk,450.05722
low_risk,486.0589
low_risk,173.59903
moderate_risk,249.15376
low_risk,652.3936
moderate_risk,796.58746
moderate_risk,777.58856
low_risk,282.49707
low_risk,266.2312
low_risk,497.34177
low_risk,121.95301
low_risk,691.9457
low_risk,617.393
moderate_risk,1016.2195
low_risk,0.01
low_risk,419.01447
low_risk,551.02747
low_risk,562.6291
low_risk,671.23425
low_risk,398.644
low_risk,568.14606
moderate_risk,925.4835
low_risk,381.95963
low_risk,518.78314
moderate_risk,766.063
low_risk,563.0395
moderate_risk,266.91742
low_risk,391.12225
moderate_risk,500.03287
low_risk,578.0225
low_risk,422.5378
low_risk,379.33258
low_risk,531.4242
moderate_risk,309.32288
low_risk,529.53314
low_risk,410.47977
low_risk,429.5384
low_risk,297.08844
low_risk,521.9884
low_risk,368.18695
low_risk,261.27264
low_risk,567.65515
moderate_risk,921.24475
low_risk,582.926
low_risk,374.20847
moderate_risk,63.65063
moderate_risk,520.5351
moderate_risk,618.7841
low_risk,680.4344
low_risk,433.91632
low_risk,344.91843
moderate_risk,395.38675
low_risk,319.42303
moderate_risk,774.27026
moderate_risk,551.04047
low_risk,588.0399
low_risk,589.609
moderate_risk,0.01
moderate_risk,995.67456
moderate_risk,771.7376
low_risk,146.24397
low_risk,498.4227
low_risk,471.66904
moderate_risk,528.4038
low_risk,386.56622
moderate_risk,0.01
moderate_risk,247.66711
low_risk,178.66548
low_risk,605.40137
low_risk,507.02454
low_risk,419.85477
moderate_risk,514.5436
low_risk,512.75323
moderate_risk,688.6838
low_risk,212.39273
low_risk,519.8652
low_risk,272.31058
moderate_risk,736.49866
low_risk,409.66293
moderate_risk,614.07495
low_risk,674.13074
moderate_risk,870.9231
low_risk,246.93973
low_risk,343.0366
low_risk,622.83276
low_risk,314.30856
low_risk,385.56284
low_risk,597.1096
low_risk,552.72174
low_risk,182.48994
low_risk,601.6262
moderate_risk,985.7257
low_risk,549.7782
low_risk,365.68143
low_risk,647.2126
moderate_risk,538.62354
moderate_risk,782.89777
low_risk,294.77814
low_risk,574.5262
low_risk,333.7008
low_risk,585.46234
low_risk,451.84097
moderate_risk,525.7794
low_risk,605.1121
moderate_risk,510.12515
moderate_risk,451.83142
moderate_risk,564.4074
low_risk,540.91376
low_risk,279.27432
moderate_risk,646.8373
low_risk,0.01
moderate_risk,803.22095
moderate_risk,683.69226
low_risk,426.0321
low_risk,667.52344
low_risk,402.20633
low_risk,694.1375
moderate_risk,151.51675
low_risk,488.96634
moderate_risk,995.41034
moderate_risk,708.7162
low_risk,447.10358
low_risk,416.60257
moderate_risk,951.1275
moderate_risk,653.4874
low_risk,260.07077
low_risk,691.1674
low_risk,320.57968
low_risk,645.1942
moderate_risk,826.0776
moderate_risk,777.2434
moderate_risk,304.07138
low_risk,478.0356
moderate_risk,934.37604
low_risk,618.93884
moderate_risk,119.76965
low_risk,216.94923
low_risk,549.8473
moderate_risk,364.19296
moderate_risk,604.40985
moderate_risk,343.42096
low_risk,509.20752
low_risk,0.01
moderate_risk,553.78894
low_risk,347.31393
low_risk,440.82492
low_risk,344.45938
low_risk,235.41942
low_risk,303.74765
moderate_risk,190.51909
moderate_risk,803.04034
moderate_risk,746.2274
low_risk,308.14316
moderate_risk,702.5333
moderate_risk,826.1406
moderate_risk,710.8218
low_risk,505.69983
moderate_risk,235.96509
low_risk,281.88458
low_risk,630.8497
low_risk,348.46375
low_risk,515.21124
moderate_risk,784.20795
moderate_risk,901.3587
moderate_risk,403.2191
moderate_risk,506.7365
low_risk,481.75998
low_risk,449.94055
moderate_risk,604.4204
low_risk,377.6264
moderate_risk,148.81229
moderate_risk,528.6257
moderate_risk,555.0426
low_risk,117.7556
low_risk,418.87482
low_risk,690.6765
low_risk,83.94119
low_risk,403.46252
moderate_risk,74.33104
low_risk,351.56607
low_risk,613.63324
moderate_risk,818.3777
low_risk,239.78409
moderate_risk,531.5661
moderate_risk,774.20905
moderate_risk,689.6092
moderate_risk,1150.4569
low_risk,579.67126
low_risk,619.51855
moderate_risk,327.40604
moderate_risk,461.33185
low_risk,239.02783
moderate_risk,267.15375
low_risk,443.8208
moderate_risk,762.7944
low_risk,245.29407
moderate_risk,919.88245
low_risk,64.50251
moderate_risk,0.01
low_risk,0.01
low_risk,160.79712
low_risk,277.8328
moderate_risk,426.6986
moderate_risk,52.785828
moderate_risk,757.7971
low_risk,676.619
moderate_risk,702.92303
moderate_risk,903.3542
low_risk,501.76035
low_risk,409.47852
low_risk,380.52115
moderate_risk,583.68896
low_risk,518.14136
low_risk,83.03927
low_risk,51.12504
low_risk,634.04175
low_risk,480.0221
low_risk,456.69983
moderate_risk,246.6158
low_risk,536.223
moderate_risk,322.55356
moderate_risk,106.6891
low_risk,446.7693
moderate_risk,506.34167
low_risk,219.52924
moderate_risk,1120.0292
low_risk,519.1563
moderate_risk,580.3851
moderate_risk,874.902
low_risk,435.46753
moderate_risk,406.61133
low_risk,648.8926
moderate_risk,853.7296
moderate_risk,713.5569
low_risk,407.78644
low_risk,310.97183
low_risk,0.01
moderate_risk,781.1414
moderate_risk,840.08374
moderate_risk,611.07117
low_risk,69.60746
low_risk,260.8003
moderate_risk,849.85114
moderate_risk,421.14426
low_risk,116.33951
moderate_risk,706.1166
moderate_risk,757.233
moderate_risk,158.15237
moderate_risk,872.43225
moderate_risk,299.24658
moderate_risk,446.44516
low_risk,113.127365
low_risk,387.50333
moderate_risk,690.41345
low_risk,611.14276
moderate_risk,721.6979
moderate_risk,887.602
low_risk,402.5478
moderate_risk,445.74698
low_risk,640.1351
moderate_risk,349.31158
low_risk,544.9232
moderate_risk,853.5173
low_risk,27.447556
low_risk,537.9286
low_risk,0.01
moderate_risk,554.4739
low_risk,688.60144
low_risk,4.5355635
moderate_risk,862.3449
moderate_risk,226.4877
low_risk,665.122
low_risk,424.94092
moderate_risk,920.9736
moderate_risk,942.95154
moderate_risk,217.35223
low_risk,237.90868
moderate_risk,344.92923
moderate_risk,304.50687
